LGA_CODE,Age_0_4_yr_P,Age_5_14_yr_P,Age_15_19_yr_P,Age_20_24_yr_P,Age_25_34_yr_P,Age_35_44_yr_P,Age_45_54_yr_P,Age_55_64_yr_P,Age_65_74_yr_P,Age_75_84_yr_P,Age_85ov_P,Age_below_15_yr,Age_15_64_yr,Age_over_65_yr,Age_below_15_yr_pct,Age_15_64_yr_pct,Age_over_65_yr_pct,Birthplace_Australia_P,Birthplace_Elsewhere_P,BP_Aus_pct,BP_Non_Aus_pct,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_P,Sec_Edu_Yr10_or_above,Sec_Edu_Yr9_or_below,Yr10_above_pct,Yr9_below_pct,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_tot_fam_inc_weekly,Median_tot_hhd_inc_weekly,Average_household_size,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Single,MS_Married_pct,MS_Separated_pct,MS_Divorced_pct,MS_Widowed_pct,MS_Never_Married_pct,MS_Single_pct,P_Afghanistan_Tot,P_Australia_Tot,P_Bangladesh_Tot,P_Bosnia_Herzegov_Tot,P_Cambodia_Tot,P_Canada_Tot,P_Chile_Tot,P_China_Tot,P_Croatia_Tot,P_Egypt_Tot,P_England_Tot,P_Fiji_Tot,P_France_Tot,P_Germany_Tot,P_Greece_Tot,P_Hong_Kong_Tot,P_India_Tot,P_Indonesia_Tot,P_Iran_Tot,P_Iraq_Tot,P_Ireland_Tot,P_Italy_Tot,P_Japan_Tot,P_Korea_South_Tot,P_Lebanon_Tot,P_Malaysia_Tot,P_Malta_Tot,P_Mauritius_Tot,P_Myanmar_Tot,P_Nepal_Tot,P_Netherlands_Tot,P_New_Zealand_Tot,P_Nthern_Ireland_Tot,P_Pakistan_Tot,P_PNG_Tot,P_Philippines_Tot,P_Poland_Tot,P_Scotland_Tot,P_Singapore_Tot,P_South_Africa_Tot,P_SE_Europe_nfd_Tot,P_Sri_Lanka_Tot,P_Taiwan_Tot,P_Thailand_Tot,P_FYROM_Tot,P_Turkey_Tot,P_USA_Tot,P_Vietnam_Tot,P_Wales_Tot,P_Zimbabwe_Tot,P_Elsewhere_Tot,P_COB_NS_Tot,P_Y12e_Tot,P_Y11e_Tot,P_Y10e_Tot,P_Y9e_Tot,P_Y8b_Tot,P_DNGTS_Tot,P_Hghst_yr_schl_ns_Tot,pct_no_pincome,pct_pincome_1_499,pct_pincome_500_999,pct_pincome_1_999,pct_pincome_1000_1499,pct_pincome_1500_1999,pct_pincome_1000_1999,pct_pincome_2000_2999,pct_pincome_3000_more,pct_pincome_ns,pct_no_fincome,pct_fincome_1_499,pct_fincome_500_999,pct_fincome_1_999,pct_fincome_1000_1499,pct_fincome_1500_1999,pct_fincome_1000_1999,pct_fincome_2000_2999,pct_fincome_3000_3999,pct_fincome_4000_more,pct_fincome_ns,pct_no_hincome,pct_hincome_1_499,pct_hincome_500_999,pct_hincome_1_999,pct_hincome_1000_1499,pct_hincome_1500_1999,pct_hincome_1000_1999,pct_hincome_2000_2999,pct_hincome_3000_3999,pct_hincome_4000_more,pct_part_hincome,pct_hincome_ns,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_P,pct_pgrad,pct_grad_cert_dip,pct_bach_deg,pct_adv_dip,pct_cert_iii_iv,pct_cert_i_ii,pct_others
LGA10050,3286,6328,3248,3508,6498,6205,6497,6372,4907,2913,1329,9614,32328,9149,18.817404239494238,63.27533225029849,17.907263510207276,41590,5540,88.24527901548907,11.754720984510927,17096,4413,10414,3287,2076,287,31923,5650,84.96260612673994,15.037393873260054,39,642,1532,1185,2.3,18935,1478,4018,2632,14408,22536,45.65841190229317,3.5639362446046636,9.688698126401581,6.3466036507438925,34.74235007595669,54.341588097706826,9,41590,81,9,9,48,15,116,48,22,1012,41,19,248,54,38,559,16,28,4,66,73,18,34,13,43,13,6,7,200,197,540,12,32,20,283,37,163,21,132,29,102,4,63,3,0,102,35,45,32,860,3949,16963,3968,9899,2784,1891,287,3840,6.403917122940737,30.17921319858173,27.147302153935215,57.32651535251694,14.18992257410936,7.132347620540775,21.322270194650137,3.287585325261101,1.6232904797510794,10.036421524880001,0.6936326085262255,5.681552490063129,19.141142545397866,24.822695035460992,18.26825656612891,13.615462551632765,31.88371911776167,20.302392642818173,7.435118073415945,4.239731899306367,1.8626763307614371,0.011284366023799754,15.372384078785393,22.30201066885515,37.67439474764054,16.90603200656545,11.274107509232664,28.180139515798114,14.972302010668855,5.637053754616332,3.0006155108740256,6.565449322938038,2.84160853508412,6.8,59.3,55.2,1047,843,4703,3530,8334,644,888,9869,0.4439149311444271,0.35742147751170206,1.9940132962485584,1.4966759378603893,3.533511973407503,0.6495488772810528,1.934655043755512
LGA10130,1669,3667,2560,2793,3464,3100,3657,3552,2747,1595,649,5336,19126,4991,18.1169999660476,64.93735782433029,16.94564220962211,23396,3631,86.56528656528657,13.434713434713435,12270,1431,5166,1651,1169,77,18867,2897,86.68902775225142,13.310972247748577,36,561,1465,1173,2.4,10341,760,1872,1435,9714,13781,42.869579636846034,3.1506508581377997,7.760550534781527,5.948926291352293,40.27029267888235,57.130420363153966,0,23396,55,0,0,54,9,277,5,3,566,33,29,103,10,26,163,35,47,89,34,23,29,12,6,39,3,0,12,151,64,313,11,32,48,154,10,97,24,89,0,63,43,32,0,4,148,50,32,24,594,2425,12180,1094,4806,1352,1078,72,2306,8.85351902511813,32.375860067976454,25.242476995772197,57.618337063748655,11.63475089115477,6.262952830970737,17.897703722125506,3.6806764486446157,1.6372378347011523,10.312525905661941,0.9548611111111112,5.844907407407407,20.35590277777778,26.200810185185187,18.24363425925926,13.469328703703704,31.712962962962962,17.896412037037038,6.944444444444445,4.817708333333333,1.7795138888888888,0.013057883453517832,14.948353147534593,22.57844474761255,37.52679789514715,16.26388618203079,11.742350419021633,28.006236601052425,14.100565191970377,5.301110894562464,3.39115182225687,7.454687195478464,2.9136620541804716,7.7,55.4,51.1,1741,571,3285,1729,3482,327,507,4317,1.3093868218978213,0.4294427773139896,2.470612125177681,1.3003617547738844,2.6187736437956426,0.627242165113603,2.119386596271143
LGA10250,2072,4856,2384,1571,3581,4669,5759,6434,5503,3203,1755,6928,24398,10461,16.579318926939,58.386579558235816,25.034101514825185,33984,4609,88.05741973933097,11.942580260669033,14511,2414,9963,2851,1672,92,26888,4615,85.35060153001301,14.649398469986984,48,601,1426,1156,2.3,17046,1179,3849,2754,10027,17809,48.905465499928276,3.3825849949791995,11.04289198106441,7.901305408119351,28.767752115908763,51.09453450007173,0,33984,3,0,4,91,30,62,12,5,1421,44,44,141,12,22,107,33,13,0,71,92,58,25,4,52,27,7,4,8,152,657,16,6,68,110,20,172,25,232,11,27,4,68,0,5,146,30,53,33,404,3195,14389,2033,9527,2451,1544,88,3287,5.892139988525531,32.23752151462995,27.799770510613882,60.03729202524383,12.059667240390132,6.534710269650029,18.59437751004016,3.195639701663798,2.0625358577165804,10.218014916810098,0.5053191489361702,5.0620567375886525,21.72872340425532,26.79078014184397,20.23936170212766,13.156028368794326,33.395390070921984,17.93439716312057,6.090425531914893,4.875886524822695,1.702127659574468,0.008697797791622972,14.588859416445624,23.50255999013016,38.09141940657578,17.57448645981124,11.023379186971809,28.59786564678305,13.73758559003146,5.089137005736846,3.7073592005428413,6.896551724137931,3.0103016470297947,5.9,53.2,50.1,1071,741,4734,3324,6380,430,938,7753,0.5221461131560344,0.36126075616117787,2.307973575798942,1.620554323184555,3.110450235233893,0.6669429344514053,2.0164298076688687
LGA10300,143,336,135,132,233,276,290,377,202,131,35,479,1443,368,20.91703056768559,63.01310043668123,16.06986899563319,1869,144,92.84649776453055,7.153502235469449,514,208,439,186,183,15,1161,384,75.14563106796116,24.854368932038835,41,624,1438,1174,2.5,897,50,132,114,608,904,49.80566352026652,2.7762354247640197,7.329261521377013,6.329816768461965,33.75902276513048,50.19433647973348,0,1869,0,0,0,0,0,4,0,0,18,14,0,3,0,0,7,0,0,0,3,22,0,3,0,12,0,3,0,3,0,13,0,0,0,3,0,4,0,0,0,0,4,7,0,0,3,0,0,0,20,281,503,192,414,167,180,15,248,8.74377421140011,25.733259546209187,28.610957387935805,54.34421693414499,12.83895960154953,3.8184836745987827,16.657443276148314,2.8776978417266186,1.549529607083564,15.827338129496402,1.9097222222222223,4.340277777777778,19.444444444444443,23.78472222222222,19.270833333333332,15.972222222222221,35.24305555555556,16.319444444444443,2.6041666666666665,2.951388888888889,3.9930555555555554,0.01761006289308176,13.962264150943396,19.62264150943396,33.58490566037736,17.61006289308176,13.333333333333334,30.943396226415093,13.20754716981132,2.2641509433962264,2.5157232704402515,10.817610062893081,4.90566037735849,5.3,57.8,54.4,21,13,94,80,250,26,19,300,0.276789244760775,0.17134572294714642,1.2389613813101357,1.0544352181362857,3.295110056675893,0.5931198102016607,3.940951627784368
LGA10470,2546,5571,2980,3148,5171,4878,5238,4991,3862,2019,892,8117,26406,6773,19.6556567222007,63.943239054629984,16.401104223169312,34538,3565,90.6437813295541,9.356218670445896,14024,2202,9053,2475,1466,98,25279,4039,86.22348045569275,13.77651954430725,37,646,1632,1310,2.5,14936,1147,2885,1854,12365,18251,45.00557447193178,3.45617259770392,8.693162985506373,5.586524844065447,37.25856510079248,54.99442552806823,9,34538,37,9,10,58,12,121,21,19,802,49,27,99,20,23,172,17,25,14,61,46,26,24,38,46,26,8,4,52,104,436,19,30,29,155,19,162,22,103,14,47,3,49,8,0,72,65,21,21,297,3195,13902,1795,8606,2055,1304,98,3806,7.452480645841492,28.4935385727626,24.589571346808448,53.083109919571044,13.51929391210049,8.178449859927102,21.697743772027593,4.1329035756243035,1.5031478748079645,12.130614212127602,0.6799369333858889,5.498620417816318,17.836026803310997,23.334647221127316,17.027985810011824,12.85967678360268,29.887662593614504,21.28498226251478,9.184075679936933,4.749704375246354,1.704769412692156,0.010693701826262066,13.735157280744392,19.936115547531422,33.67127282827581,16.339143115061454,11.742240122213735,28.08138323727519,16.387750850635374,7.1522810915908615,3.7011318658426497,7.3189361849871535,2.6178737587667524,6.0,58.3,54.8,951,645,3759,2672,6508,526,818,7856,0.4888329178339202,0.33154283070754836,1.9322007761700377,1.373461152946619,3.3452414608445347,0.6908427356138682,2.3177156955974194
LGA10550,1468,3789,1792,1189,2482,3120,4648,6154,5060,2546,999,5257,19385,8605,15.811952958161637,58.306012572562935,25.88203446927542,26446,3860,87.26324820167623,12.736751798323764,10548,2652,7926,2252,1525,56,21126,3833,84.64281421531311,15.357185784686886,51,538,1242,986,2.2,13807,1058,3296,2021,7808,14183,49.32833154698106,3.7799214005001787,11.775634155055377,7.220435869953555,27.895677027509823,50.67166845301894,0,26446,3,0,4,54,12,37,16,14,1437,16,25,238,18,8,46,23,8,0,61,54,23,17,3,31,30,6,0,8,204,375,28,3,18,120,25,159,16,85,16,11,3,59,4,5,131,20,38,11,359,2946,10445,2404,7647,2020,1454,56,2931,5.870582770572051,36.49908886268625,27.248365312466504,63.74745417515275,11.687569228570407,5.120234394540322,16.80780362311073,2.1509986779576233,1.0969378640082896,10.326222889198556,0.8436944937833037,7.493339253996448,24.07859680284192,31.571936056838364,21.769538188277085,11.689609236234459,33.45914742451154,15.042184724689164,4.262877442273535,2.420071047957371,1.6762877442273534,0.011342155009451797,18.83553875236295,25.179584120982987,44.01512287334594,18.434782608695652,9.285444234404537,27.72022684310019,11.085066162570888,3.4102079395085068,1.8071833648393194,7.810964083175803,3.0170132325141776,5.4,49.7,47.0,651,598,2947,2331,5493,437,730,6669,0.40233117232258186,0.3695760999215114,1.8213056295463113,1.4406051654131156,3.394785145265656,0.7212296130575315,2.285438825267139
LGA10600,605,1594,719,396,953,1324,1824,2240,1718,924,368,2199,7456,3010,17.36281089617055,58.87090406632451,23.766285037504936,10173,1495,87.18717860815907,12.81282139184093,4217,760,2991,961,528,25,7968,1514,84.03290445053786,15.967095549462137,49,515,1218,997,2.3,4698,396,1402,736,3228,5762,44.91395793499044,3.78585086042065,13.40344168260038,7.036328871892926,30.860420650095605,55.08604206500956,0,10173,0,0,0,28,10,8,0,3,568,8,26,91,0,11,23,5,0,0,24,11,5,3,0,14,0,0,0,0,67,169,5,0,14,20,5,65,7,44,0,0,3,7,0,3,50,3,26,7,152,1005,4171,643,2868,859,483,25,957,7.117607719499379,37.20263685869877,27.07557084169294,64.2782077003917,10.55698863093532,5.2450558899398105,15.802044520875132,2.426674309735359,1.0509219451609821,9.324543804337441,0.5807200929152149,6.939605110336817,25.958188153310104,32.897793263646925,21.428571428571427,12.775842044134727,34.20441347270616,13.67595818815331,4.094076655052265,2.4099883855981417,1.5389082462253194,0.011265338966002816,18.08489237577952,25.36712935023134,43.45202172601086,18.004425668879502,10.420438543552605,28.424864212432105,10.88312210822772,3.2790183061758196,1.991550995775498,7.8052705693019515,3.0376181854757593,7.2,50.4,46.8,314,228,1405,975,1970,153,271,2401,0.5090048468932873,0.36959587608811945,2.2775535346658238,1.5805086806399844,3.1934380521648915,0.6873186467603625,1.940378349462627
LGA10650,471,972,421,331,747,843,936,1304,1370,739,313,1443,4582,2422,17.08298804309222,54.24411033503019,28.67290162187759,6866,651,91.33963017161102,8.660369828388985,2069,918,1809,736,539,25,4796,1300,78.6745406824147,21.325459317585302,49,524,1251,967,2.2,3679,258,690,624,1772,3344,52.38502064644739,3.6736437419906025,9.824861170439982,8.88509184109355,25.23138260002848,47.61497935355261,0,6866,0,0,0,11,0,10,0,6,168,0,0,39,0,0,22,0,0,6,7,9,0,3,0,21,3,0,0,3,42,93,7,0,0,44,3,38,0,17,3,15,0,3,0,0,10,0,5,4,55,948,2047,878,1748,677,523,25,901,6.111981763784015,35.9167972645676,26.043595953839578,61.960393218407184,10.671035760079784,4.943724177233224,15.614759937313007,2.1370565607636416,1.2537398489813363,12.92206867075082,1.0818438381937912,7.619943555973659,24.03574788334901,31.655691439322673,20.46095954844779,12.935089369708372,33.39604891815616,15.239887111947318,3.4807149576669802,3.1044214487300095,2.8222013170272815,0.012855831037649219,19.55922865013774,24.579124579124578,44.13835322926232,16.835016835016834,10.1010101010101,26.936026936026938,11.172329354147536,3.1221303948576677,1.9895928986838078,6.6115702479338845,4.744413835322926,4.8,49.2,46.8,53,67,494,460,1355,82,133,1565,0.145816711145349,0.18433433295732798,1.3591217982226869,1.265579002393595,3.727955539659394,0.5915206206839629,3.0786584862574626
LGA10750,26928,49739,23289,22830,52249,51402,42063,33702,21536,9674,3553,76667,225535,34763,22.752214621696616,66.93128366447554,10.316501713827845,182150,136294,57.200010048862595,42.799989951137405,143974,15112,52041,15160,12616,3004,211127,30780,87.2761019730723,12.723898026927705,33,672,1817,1711,3.2,136045,8575,17266,11356,87055,124252,52.26529694925412,3.294313803078791,6.633192084426636,4.362708751925685,33.444488411314765,47.73470305074588,2342,182150,2427,506,141,294,668,4658,1025,1955,5287,7080,167,952,692,944,25761,1483,1550,1684,613,1291,145,1478,1845,1341,2269,679,820,1388,492,8040,211,4111,143,21917,932,894,541,1787,525,4895,287,621,192,1335,816,990,124,324,15616,18522,142391,11285,48237,12201,12005,2998,18047,12.635610670600528,25.876667281332594,24.028059499661932,49.90472678099453,16.1342123056119,8.260341754256562,24.39455405986846,4.292289015919848,1.3372825619275923,7.4355369106890405,1.5658716798662344,5.124670952289494,14.93452939116288,20.059200343452375,15.083660027340617,13.594613220656854,28.67827324799747,23.74453470111735,10.192853027238936,6.2894716030413615,1.5195508004473919,0.013093742891897506,9.312974079531632,14.727493893212813,24.040467972744445,14.471354965040497,12.688272001740557,27.159626966781055,21.430619974880585,9.812395541798114,6.601263882433221,7.502200421294145,2.144050950878685,7.3,62.8,58.2,14020,2983,40305,22969,35577,3039,5249,43865,1.0347321652619303,0.22015735014096566,2.974670465112846,1.6952042156848273,2.62572512435975,0.6116876024030584,1.7191905176612987
LGA10800,351,876,333,267,588,680,709,866,626,442,211,1227,3443,1279,20.625315179021683,57.87527315515213,21.49941166582619,4890,287,94.45624879273711,5.543751207262894,1325,310,1596,469,319,7,3231,795,80.25335320417287,19.746646795827125,43,580,1360,1100,2.4,2544,151,326,401,1300,2178,53.87547649301143,3.1977975434138077,6.903854299025837,8.492164337145278,27.530707327403643,46.12452350698856,0,4890,0,0,0,10,0,10,0,0,73,0,0,6,0,3,13,3,0,0,4,3,0,0,0,0,3,0,0,0,8,32,0,0,25,20,0,0,0,20,0,7,3,3,0,0,5,4,3,3,29,769,1300,269,1559,422,301,7,683,7.04492723054208,30.078042607044928,24.319763762919216,54.397806369964144,11.558742881248682,6.137945581101033,17.696688462349716,3.2482598607888633,2.256907825353301,15.355410251001897,1.2709030100334449,6.889632107023411,20.13377926421405,27.023411371237458,18.929765886287626,12.575250836120402,31.505016722408026,15.050167224080267,6.688963210702341,4.548494983277592,2.94314381270903,0.013895321908290875,16.35016211208893,21.72301991662807,38.073182028717,17.322834645669293,10.653080129689672,27.975914775358962,11.394163964798517,5.187586845761927,3.1496062992125986,7.966651227420102,4.863362667901806,3.6,55.8,53.8,37,37,323,250,841,80,108,1023,0.15377581979136362,0.15377581979136362,1.3424213457462284,1.0390258094011056,3.495282822825319,0.7813474086696314,3.4121607580732305
