LGA_CODE,Age_below_15_yr,Age_15_64_yr,Age_over_65_yr,Age_below_15_yr_perc,Age_15_64_yr_perc,Age_over_65_yr_perc,BP_Aus,BP_Non_Aus,BP_Aus_Perc,BP_Non_Aus_Perc,SE_Yr10_above,SE_Yr9_below,SE_Yr10_above_Perc,SE_Yr9_below_Perc,MS_Married,MS_Separated,MS_Divorced,MS_Widowed,MS_Never_Married,MS_Single,MS_Married_Perc,MS_Separated_Perc,MS_Divorced_Perc,MS_Widowed_Perc,MS_Never_Married_Perc,MS_Single_Perc,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_tot_fam_inc_weekly,Median_tot_hhd_inc_weekly,Average_household_size,P_Afghanistan_Tot,P_Australia_Tot,P_Bangladesh_Tot,P_Bosnia_Herzegov_Tot,P_Cambodia_Tot,P_Canada_Tot,P_Chile_Tot,P_China_Tot,P_Croatia_Tot,P_Egypt_Tot,P_England_Tot,P_Fiji_Tot,P_France_Tot,P_Germany_Tot,P_Greece_Tot,P_Hong_Kong_Tot,P_India_Tot,P_Indonesia_Tot,P_Iran_Tot,P_Iraq_Tot,P_Ireland_Tot,P_Italy_Tot,P_Japan_Tot,P_Korea_South_Tot,P_Lebanon_Tot,P_Malaysia_Tot,P_Malta_Tot,P_Mauritius_Tot,P_Myanmar_Tot,P_Nepal_Tot,P_Netherlands_Tot,P_New_Zealand_Tot,P_Nthern_Ireland_Tot,P_Pakistan_Tot,P_PNG_Tot,P_Philippines_Tot,P_Poland_Tot,P_Scotland_Tot,P_Singapore_Tot,P_South_Africa_Tot,P_SE_Europe_nfd_Tot,P_Sri_Lanka_Tot,P_Taiwan_Tot,P_Thailand_Tot,P_FYROM_Tot,P_Turkey_Tot,P_USA_Tot,P_Vietnam_Tot,P_Wales_Tot,P_Zimbabwe_Tot,P_Elsewhere_Tot,P_COB_NS_Tot,P_Y12e_Tot,P_Y11e_Tot,P_Y10e_Tot,P_Y9e_Tot,P_Y8b_Tot,P_DNGTS_Tot,P_Hghst_yr_schl_ns_Tot
LGA10050,9614,32328,9149,18.817404239494238,63.27533225029849,17.907263510207276,41590,5540,88.24527901548907,11.754720984510927,31923,5650,84.96260612673994,15.037393873260054,18935,1478,4018,2632,14408,22536,45.65841190229317,3.5639362446046636,9.688698126401581,6.3466036507438925,34.74235007595669,54.341588097706826,39,642,1532,1185,2.3,9,41590,81,9,9,48,15,116,48,22,1012,41,19,248,54,38,559,16,28,4,66,73,18,34,13,43,13,6,7,200,197,540,12,32,20,283,37,163,21,132,29,102,4,63,3,0,102,35,45,32,860,3949,16963,3968,9899,2784,1891,287,3840
LGA10130,5336,19126,4991,18.1169999660476,64.93735782433029,16.94564220962211,23396,3631,86.56528656528657,13.434713434713435,18867,2897,86.68902775225142,13.310972247748577,10341,760,1872,1435,9714,13781,42.869579636846034,3.1506508581377997,7.760550534781527,5.948926291352293,40.27029267888235,57.130420363153966,36,561,1465,1173,2.4,0,23396,55,0,0,54,9,277,5,3,566,33,29,103,10,26,163,35,47,89,34,23,29,12,6,39,3,0,12,151,64,313,11,32,48,154,10,97,24,89,0,63,43,32,0,4,148,50,32,24,594,2425,12180,1094,4806,1352,1078,72,2306
LGA10250,6928,24398,10461,16.579318926939,58.386579558235816,25.034101514825185,33984,4609,88.05741973933097,11.942580260669033,26888,4615,85.35060153001301,14.649398469986984,17046,1179,3849,2754,10027,17809,48.905465499928276,3.3825849949791995,11.04289198106441,7.901305408119351,28.767752115908763,51.09453450007173,48,601,1426,1156,2.3,0,33984,3,0,4,91,30,62,12,5,1421,44,44,141,12,22,107,33,13,0,71,92,58,25,4,52,27,7,4,8,152,657,16,6,68,110,20,172,25,232,11,27,4,68,0,5,146,30,53,33,404,3195,14389,2033,9527,2451,1544,88,3287
LGA10300,479,1443,368,20.91703056768559,63.01310043668123,16.06986899563319,1869,144,92.84649776453055,7.153502235469449,1161,384,75.14563106796116,24.854368932038835,897,50,132,114,608,904,49.80566352026652,2.7762354247640197,7.329261521377013,6.329816768461965,33.75902276513048,50.19433647973348,41,624,1438,1174,2.5,0,1869,0,0,0,0,0,4,0,0,18,14,0,3,0,0,7,0,0,0,3,22,0,3,0,12,0,3,0,3,0,13,0,0,0,3,0,4,0,0,0,0,4,7,0,0,3,0,0,0,20,281,503,192,414,167,180,15,248
LGA10470,8117,26406,6773,19.6556567222007,63.943239054629984,16.401104223169312,34538,3565,90.6437813295541,9.356218670445896,25279,4039,86.22348045569275,13.77651954430725,14936,1147,2885,1854,12365,18251,45.00557447193178,3.45617259770392,8.693162985506373,5.586524844065447,37.25856510079248,54.99442552806823,37,646,1632,1310,2.5,9,34538,37,9,10,58,12,121,21,19,802,49,27,99,20,23,172,17,25,14,61,46,26,24,38,46,26,8,4,52,104,436,19,30,29,155,19,162,22,103,14,47,3,49,8,0,72,65,21,21,297,3195,13902,1795,8606,2055,1304,98,3806
LGA10550,5257,19385,8605,15.811952958161637,58.306012572562935,25.88203446927542,26446,3860,87.26324820167623,12.736751798323764,21126,3833,84.64281421531311,15.357185784686886,13807,1058,3296,2021,7808,14183,49.32833154698106,3.7799214005001787,11.775634155055377,7.220435869953555,27.895677027509823,50.67166845301894,51,538,1242,986,2.2,0,26446,3,0,4,54,12,37,16,14,1437,16,25,238,18,8,46,23,8,0,61,54,23,17,3,31,30,6,0,8,204,375,28,3,18,120,25,159,16,85,16,11,3,59,4,5,131,20,38,11,359,2946,10445,2404,7647,2020,1454,56,2931
LGA10600,2199,7456,3010,17.36281089617055,58.87090406632451,23.766285037504936,10173,1495,87.18717860815907,12.81282139184093,7968,1514,84.03290445053786,15.967095549462137,4698,396,1402,736,3228,5762,44.91395793499044,3.78585086042065,13.40344168260038,7.036328871892926,30.860420650095605,55.08604206500956,49,515,1218,997,2.3,0,10173,0,0,0,28,10,8,0,3,568,8,26,91,0,11,23,5,0,0,24,11,5,3,0,14,0,0,0,0,67,169,5,0,14,20,5,65,7,44,0,0,3,7,0,3,50,3,26,7,152,1005,4171,643,2868,859,483,25,957
LGA10650,1443,4582,2422,17.08298804309222,54.24411033503019,28.67290162187759,6866,651,91.33963017161102,8.660369828388985,4796,1300,78.6745406824147,21.325459317585302,3679,258,690,624,1772,3344,52.38502064644739,3.6736437419906025,9.824861170439982,8.88509184109355,25.23138260002848,47.61497935355261,49,524,1251,967,2.2,0,6866,0,0,0,11,0,10,0,6,168,0,0,39,0,0,22,0,0,6,7,9,0,3,0,21,3,0,0,3,42,93,7,0,0,44,3,38,0,17,3,15,0,3,0,0,10,0,5,4,55,948,2047,878,1748,677,523,25,901
LGA10750,76667,225535,34763,22.752214621696616,66.93128366447554,10.316501713827845,182150,136294,57.200010048862595,42.799989951137405,211127,30780,87.2761019730723,12.723898026927705,136045,8575,17266,11356,87055,124252,52.26529694925412,3.294313803078791,6.633192084426636,4.362708751925685,33.444488411314765,47.73470305074588,33,672,1817,1711,3.2,2342,182150,2427,506,141,294,668,4658,1025,1955,5287,7080,167,952,692,944,25761,1483,1550,1684,613,1291,145,1478,1845,1341,2269,679,820,1388,492,8040,211,4111,143,21917,932,894,541,1787,525,4895,287,621,192,1335,816,990,124,324,15616,18522,142391,11285,48237,12201,12005,2998,18047
LGA10800,1227,3443,1279,20.625315179021683,57.87527315515213,21.49941166582619,4890,287,94.45624879273711,5.543751207262894,3231,795,80.25335320417287,19.746646795827125,2544,151,326,401,1300,2178,53.87547649301143,3.1977975434138077,6.903854299025837,8.492164337145278,27.530707327403643,46.12452350698856,43,580,1360,1100,2.4,0,4890,0,0,0,10,0,10,0,0,73,0,0,6,0,3,13,3,0,0,4,3,0,0,0,0,3,0,0,0,8,32,0,0,25,20,0,0,0,20,0,7,3,3,0,0,5,4,3,3,29,769,1300,269,1559,422,301,7,683
LGA10850,1509,4392,1350,20.81092263136119,60.5709557302441,18.618121638394705,6206,451,93.2251765059336,6.774823494066397,4322,846,83.63003095975232,16.36996904024768,2904,212,557,354,1728,2851,50.460469157254565,3.6837532580364902,9.678540399652476,6.151172893136403,30.02606429192007,49.539530842745435,42,620,1581,1227,2.5,0,6206,0,0,0,3,0,11,0,0,151,0,4,23,0,0,3,7,0,0,7,0,0,0,3,0,4,0,0,0,19,75,4,0,0,13,8,24,0,10,3,4,0,4,0,0,5,4,9,0,35,606,2023,333,1802,422,320,8,558
LGA10900,14069,47812,15017,18.295664386590026,62.17586933340269,19.52846628000728,60029,12954,82.2506611128619,17.7493388871381,53551,5321,90.96174752004347,9.038252479956515,30869,1969,6607,3414,19978,31968,49.125515221923386,3.1335041456466732,10.514505784808312,5.433104699460508,31.793370148161117,50.874484778076614,44,688,1866,1468,2.5,7,60029,6,17,37,197,101,214,74,52,4385,81,102,557,69,97,261,129,32,21,283,174,106,93,51,158,87,47,18,16,359,1121,123,26,74,258,179,539,67,288,56,59,28,126,6,16,445,129,133,33,1411,3921,34246,3178,14412,2807,1307,138,3895
LGA10950,551,1609,536,20.437685459940653,59.681008902077146,19.881305637982198,2233,128,94.57856840321898,5.421431596781025,1473,364,80.18508437670114,19.814915623298855,993,85,138,182,742,1147,46.401869158878505,3.9719626168224296,6.4485981308411215,8.504672897196262,34.67289719626168,53.598130841121495,40,634,1561,1155,2.4,0,2233,0,0,0,0,0,3,0,0,20,7,0,4,0,3,14,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,3,7,5,7,0,0,0,3,0,0,0,0,0,0,3,3,0,4,9,334,623,140,657,195,135,3,303
LGA11100,7919,32646,6086,16.974984459068402,69.97920730530964,13.045808235621958,22686,20687,52.30442902266387,47.69557097733613,31446,3974,88.78035008469791,11.219649915302089,17403,1062,2967,1791,15508,21328,44.93299940616044,2.7419896207172547,7.660530324546229,4.624202834938421,40.04027781363765,55.06700059383955,35,720,1921,1626,2.7,25,22686,1182,63,59,66,319,2689,168,370,1037,259,95,124,761,382,766,1841,137,409,463,352,147,200,174,454,191,54,31,72,54,878,58,150,28,1080,143,179,133,249,79,114,140,440,62,365,114,271,39,27,3191,3282,23986,1378,5161,1211,1841,555,3261
LGA11150,617,1653,359,23.468999619627233,62.87561810574363,13.655382274629135,1969,101,95.1207729468599,4.879227053140096,1191,354,77.08737864077669,22.9126213592233,767,72,127,124,930,1253,37.97029702970297,3.564356435643564,6.287128712871287,6.138613861386139,46.03960396039604,62.02970297029703,36,719,1562,1243,2.5,0,1969,0,0,0,0,0,0,0,0,18,0,0,3,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,13,3,12,0,4,5,3,0,0,0,3,0,0,0,0,0,0,4,0,0,0,16,560,569,138,459,188,127,16,467
LGA11200,379,1090,176,23.03951367781155,66.26139817629179,10.699088145896656,1448,35,97.63991908293998,2.3600809170600137,773,313,71.17863720073665,28.82136279926335,323,35,68,72,778,953,25.313479623824453,2.74294670846395,5.329153605015674,5.6426332288401255,60.9717868338558,74.68652037617555,34,439,923,864,2.6,0,1448,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,166,306,87,346,162,142,7,176
LGA11250,2946,10905,3861,16.632791327913278,61.56842818428184,21.798780487804876,15364,800,95.05073001732245,4.9492699826775555,9692,3150,75.47111041893785,24.528889581062142,6089,619,1612,1241,5202,8674,41.24500440289914,4.192914719230509,10.919189866558288,8.406150511413669,35.236740499898396,58.75499559710086,45,527,1279,965,2.2,0,15364,3,3,0,7,0,9,7,0,154,6,7,33,13,3,50,0,0,0,12,30,7,3,0,3,19,0,7,3,19,72,4,3,0,124,0,27,0,21,7,8,0,7,0,0,21,3,8,0,63,1543,3635,1026,4749,1617,1316,38,1889
LGA11300,4799,26756,5258,13.036155705864777,72.68084644011627,14.28299785401896,13758,21067,39.506101938262745,60.49389806173726,26660,3210,89.25343153665885,10.746568463341145,14564,680,1969,1474,13319,17442,45.50396800599887,2.1246016371930265,6.151971505342748,4.605386490033118,41.61407236143223,54.49603199400113,33,552,1725,1569,2.9,3,13758,93,28,58,32,55,7576,172,96,382,135,47,84,385,757,1566,277,54,27,168,1023,102,1238,589,312,43,31,118,1296,15,358,12,87,55,438,113,45,115,59,34,210,403,252,15,84,88,799,11,7,1113,1983,22333,730,2722,771,1535,655,2100
LGA11350,5292,20933,5328,16.771780813234873,66.34234462650144,16.885874560263684,21560,5637,79.27344927749385,20.72655072250616,20552,1924,91.43975796405054,8.560242035949457,9753,955,3801,1334,10435,16525,37.11469670446761,3.634218738107923,14.464571124134256,5.076489839409392,39.71002359388081,62.88530329553238,44,596,1389,1149,2.4,0,21560,0,0,3,160,38,20,9,17,1620,19,131,341,28,20,67,27,4,0,76,135,142,15,5,27,17,11,0,7,150,752,18,3,47,57,31,109,15,176,3,20,14,65,9,8,332,19,32,24,809,4364,13240,1587,5128,976,593,58,3717
LGA11400,2885,7837,2657,21.563644517527468,58.57687420584497,19.859481276627548,11515,796,93.53423767362521,6.4657623263747865,7912,1612,83.07433851322973,16.925661486770267,5901,333,800,684,2787,4604,56.173250832936695,3.169919086149452,7.615421227986673,6.511185149928606,26.530223702998573,43.826749167063305,43,631,1618,1301,2.6,0,11515,0,3,0,10,0,8,10,0,260,0,5,36,0,7,19,3,0,0,13,14,3,3,3,6,5,0,0,0,16,116,7,3,5,36,3,21,0,51,0,0,0,6,0,0,12,0,8,9,73,1074,3852,584,3146,796,618,31,930
