LGA_CODE_2016,Tot_P_P,Age_20_24_yr_P,Age_25_34_yr_P,Age_35_44_yr_P,Age_45_54_yr_P,Age_55_64_yr_P,Age_65_74_yr_P,Age_75_84_yr_P,P_Tot_Married,P_Tot_Never_Married,P_Tot_Divorced,Buddhism_P,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_P,Christianity_Brethren_P,Christianity_Catholic_P,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_P,Christianity_Christian_nfd_P,Christianity_Othr_Christian_P,Christianity_Tot_P,Hinduism_P,Islam_P,Judaism_P,P_1_149_Tot,P_150_299_Tot,P_300_399_Tot,P_400_499_Tot,P_500_649_Tot,P_650_799_Tot,P_800_999_Tot,P_1000_1249_Tot,P_1250_1499_Tot,P_1500_1749_Tot,P_1750_1999_Tot,P_2000_2999_Tot,P_3000_more_Tot
LGA10050,51076,3508,6498,6205,6497,6372,4907,2913,18935,14408,4018,515,8647,0,533,116,13079,38,312,178,49,1073,17,104,523,1825,140,204,2139,1073,32,30077,835,242,27,1701,3030,3810,3971,3660,3643,3952,3551,2332,1811,1146,1363,673
LGA10130,29449,2793,3464,3100,3657,3552,2747,1595,10341,9714,1872,313,6726,0,309,141,5947,55,82,77,53,70,3,67,244,1330,165,185,912,575,33,16955,283,463,17,1105,2303,2186,2217,2127,2154,1809,1756,1051,898,613,888,395
LGA10250,41790,1571,3581,4669,5759,6434,5503,3203,17046,10027,3849,313,7966,0,507,3,9168,26,105,238,59,114,5,131,519,1775,90,220,1809,920,63,23709,95,48,49,1393,2351,3720,3774,3474,3253,2964,2663,1541,1312,966,1114,719
LGA10300,2287,132,233,276,290,377,202,131,897,608,132,16,341,0,4,0,810,5,0,3,0,15,0,5,11,156,0,0,68,58,0,1486,10,7,0,44,101,163,157,159,171,187,150,82,46,23,52,28
LGA10470,41300,3148,5171,4878,5238,4991,3862,2019,14936,12365,2885,307,7893,0,524,166,12833,43,147,126,61,79,14,148,260,1723,115,69,1512,631,15,26367,202,183,14,1315,2422,2761,2961,2712,2675,2776,2645,1843,1565,1150,1372,499
LGA10550,33253,1189,2482,3120,4648,6154,5060,2546,13807,7808,3296,342,7277,0,361,3,5949,16,98,212,58,111,3,82,82,950,80,111,1245,649,35,17322,55,26,27,1228,2389,3360,3238,2736,2497,2393,2072,1199,851,582,602,307
LGA10600,12668,396,953,1324,1824,2240,1718,924,4698,3228,1402,210,2392,0,65,0,1859,7,10,26,0,18,0,36,143,345,21,28,636,268,28,5897,25,16,31,441,898,1241,1314,1085,934,815,701,404,303,246,254,110
LGA10650,8462,331,747,843,936,1304,1370,739,3679,1772,690,19,1626,0,23,0,2239,0,20,21,101,36,0,17,52,547,12,0,628,130,8,5464,23,13,3,271,584,895,771,696,571,561,477,272,208,139,150,88
LGA10750,336962,22830,52249,51402,42063,33702,21536,9674,136045,87055,17266,5731,35864,171,4499,106,98278,946,6025,1186,2344,458,3648,3124,7563,5987,501,1827,6278,10681,375,189864,28781,22645,151,10676,17769,20500,18413,17261,20533,24752,25290,16708,12848,8654,11173,3481
LGA10800,5955,267,588,680,709,866,626,442,2544,1300,326,21,1484,0,33,0,1545,3,8,34,3,86,3,32,22,406,28,6,391,214,0,4303,16,4,0,155,331,479,461,440,342,371,338,210,183,108,154,107
