LGA_CODE,LGA_NAME,s_mean_nonstrata,s_mean_strata,s_median_nonstrata,s_median_strata,s_mean_sales,s_median_sales,r_one_br,r_two_br,r_three_br,r_four_or_more_br,r_bedsitter,r_not_specified,r_flat,r_house,r_other,r_townhouse,r_weekly_rent_median,Age_0_4_yr_P,Age_5_14_yr_P,Age_15_19_yr_P,Age_20_24_yr_P,Age_25_34_yr_P,Age_35_44_yr_P,Age_45_54_yr_P,Age_55_64_yr_P,Age_65_74_yr_P,Age_75_84_yr_P,Age_85ov_P,Age_below_15_yr,Age_15_64_yr,Age_over_65_yr,Age_below_15_yr_pct,Age_15_64_yr_pct,Age_over_65_yr_pct,Birthplace_Australia_P,Birthplace_Elsewhere_P,BP_Aus_pct,BP_Non_Aus_pct,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_P,Sec_Edu_Yr10_or_above,Sec_Edu_Yr9_or_below,Yr10_above_pct,Yr9_below_pct,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_tot_fam_inc_weekly,Median_tot_hhd_inc_weekly,Average_household_size,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Single,MS_Married_pct,MS_Separated_pct,MS_Divorced_pct,MS_Widowed_pct,MS_Never_Married_pct,MS_Single_pct,P_Afghanistan_Tot,P_Australia_Tot,P_Bangladesh_Tot,P_Bosnia_Herzegov_Tot,P_Cambodia_Tot,P_Canada_Tot,P_Chile_Tot,P_China_Tot,P_Croatia_Tot,P_Egypt_Tot,P_England_Tot,P_Fiji_Tot,P_France_Tot,P_Germany_Tot,P_Greece_Tot,P_Hong_Kong_Tot,P_India_Tot,P_Indonesia_Tot,P_Iran_Tot,P_Iraq_Tot,P_Ireland_Tot,P_Italy_Tot,P_Japan_Tot,P_Korea_South_Tot,P_Lebanon_Tot,P_Malaysia_Tot,P_Malta_Tot,P_Mauritius_Tot,P_Myanmar_Tot,P_Nepal_Tot,P_Netherlands_Tot,P_New_Zealand_Tot,P_Nthern_Ireland_Tot,P_Pakistan_Tot,P_PNG_Tot,P_Philippines_Tot,P_Poland_Tot,P_Scotland_Tot,P_Singapore_Tot,P_South_Africa_Tot,P_SE_Europe_nfd_Tot,P_Sri_Lanka_Tot,P_Taiwan_Tot,P_Thailand_Tot,P_FYROM_Tot,P_Turkey_Tot,P_USA_Tot,P_Vietnam_Tot,P_Wales_Tot,P_Zimbabwe_Tot,P_Elsewhere_Tot,P_COB_NS_Tot,P_Y12e_Tot,P_Y11e_Tot,P_Y10e_Tot,P_Y9e_Tot,P_Y8b_Tot,P_DNGTS_Tot,P_Hghst_yr_schl_ns_Tot,pct_no_pincome,pct_pincome_1_499,pct_pincome_500_999,pct_pincome_1_999,pct_pincome_1000_1499,pct_pincome_1500_1999,pct_pincome_1000_1999,pct_pincome_2000_2999,pct_pincome_3000_more,pct_pincome_ns,pct_no_fincome,pct_fincome_1_499,pct_fincome_500_999,pct_fincome_1_999,pct_fincome_1000_1499,pct_fincome_1500_1999,pct_fincome_1000_1999,pct_fincome_2000_2999,pct_fincome_3000_3999,pct_fincome_4000_more,pct_fincome_ns,pct_no_hincome,pct_hincome_1_499,pct_hincome_500_999,pct_hincome_1_999,pct_hincome_1000_1499,pct_hincome_1500_1999,pct_hincome_1000_1999,pct_hincome_2000_2999,pct_hincome_3000_3999,pct_hincome_4000_more,pct_part_hincome,pct_hincome_ns,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_P,pct_pgrad,pct_grad_cert_dip,pct_bach_deg,pct_adv_dip,pct_cert_iii_iv,pct_cert_i_ii,pct_others,land_area,bus_stop,coach_stop,light_rail,train_station,wharf,all_bus_stops,all_train_stations,all_transpo,ntl17_count,ntl17_min,ntl17_mean,ntl17_max,ntl17_sum,ntl19_count,ntl19_min,ntl19_mean,ntl19_max,ntl19_sum
LGA10050,Albury,350.72904,197.23513,320.0,206.0,320.42552,290.0,162.5,220.0,290.0,375.0,0.0,280.0,200.0,310.0,277.5,277.5,270.0,3286,6328,3248,3508,6498,6205,6497,6372,4907,2913,1329,9614,32328,9149,18.817404239494238,63.27533225029849,17.907263510207272,41590,5540,88.24527901548906,11.754720984510927,17096,4413,10414,3287,2076,287,31923,5650,84.96260612673994,15.037393873260054,39,642,1532,1185,2.3,18935,1478,4018,2632,14408,22536,45.65841190229317,3.563936244604664,9.688698126401581,6.3466036507438925,34.74235007595669,54.341588097706826,9,41590,81,9,9,48,15,116,48,22,1012,41,19,248,54,38,559,16,28,4,66,73,18,34,13,43,13,6,7,200,197,540,12,32,20,283,37,163,21,132,29,102,4,63,3,0,102,35,45,32,860,3949,16963,3968,9899,2784,1891,287,3840,6.4039171229407374,30.179213198581728,27.147302153935215,57.326515352516935,14.189922574109358,7.132347620540775,21.322270194650137,3.287585325261101,1.6232904797510794,10.03642152488,0.6936326085262255,5.681552490063129,19.141142545397862,24.82269503546099,18.26825656612891,13.615462551632767,31.883719117761675,20.302392642818173,7.435118073415945,4.239731899306366,1.862676330761437,0.011284366023799754,15.372384078785393,22.302010668855146,37.67439474764054,16.90603200656545,11.274107509232664,28.18013951579811,14.972302010668855,5.637053754616332,3.0006155108740256,6.565449322938037,2.84160853508412,6.8,59.3,55.2,1047,843,4703,3530,8334,644,888,9869,0.4439149311444271,0.3574214775117021,1.9940132962485584,1.496675937860389,3.533511973407503,0.6495488772810528,1.934655043755512,305.9459,90.0,0.0,0.0,1.0,0.0,90.0,1.0,91.0,1766,0.14000000059604645,2.3753284700594564,59.13999938964844,4194.830078125,1766,0.20000000298023224,2.5015571913929784,56.81999969482422,4417.75
LGA10130,Armidale Regional,372.99474,0.0,352.5,0.0,361.56796,345.0,170.0,240.0,322.5,410.0,0.0,250.0,230.0,330.0,0.0,0.0,280.0,1669,3667,2560,2793,3464,3100,3657,3552,2747,1595,649,5336,19126,4991,18.1169999660476,64.93735782433029,16.945642209622108,23396,3631,86.56528656528656,13.434713434713435,12270,1431,5166,1651,1169,77,18867,2897,86.68902775225142,13.310972247748575,36,561,1465,1173,2.4,10341,760,1872,1435,9714,13781,42.869579636846034,3.1506508581378,7.760550534781528,5.948926291352294,40.27029267888235,57.13042036315397,0,23396,55,0,0,54,9,277,5,3,566,33,29,103,10,26,163,35,47,89,34,23,29,12,6,39,3,0,12,151,64,313,11,32,48,154,10,97,24,89,0,63,43,32,0,4,148,50,32,24,594,2425,12180,1094,4806,1352,1078,72,2306,8.85351902511813,32.375860067976454,25.2424769957722,57.618337063748655,11.634750891154768,6.262952830970737,17.897703722125502,3.680676448644616,1.6372378347011525,10.31252590566194,0.9548611111111112,5.844907407407407,20.355902777777782,26.20081018518519,18.243634259259263,13.469328703703706,31.712962962962962,17.896412037037038,6.9444444444444455,4.817708333333333,1.7795138888888888,0.013057883453517832,14.948353147534592,22.578444747612554,37.52679789514715,16.26388618203079,11.742350419021633,28.00623660105243,14.100565191970375,5.301110894562464,3.3911518222568704,7.454687195478464,2.913662054180472,7.7,55.4,51.1,1741,571,3285,1729,3482,327,507,4317,1.3093868218978213,0.4294427773139896,2.470612125177681,1.3003617547738844,2.6187736437956426,0.627242165113603,2.119386596271143,8620.699,17.0,3.0,0.0,1.0,0.0,20.0,1.0,21.0,46613,-0.009999999776482582,0.2108295843233111,34.509998321533196,9827.3994140625,46614,0.05000000074505806,0.2340653383036749,41.060001373291016,10910.7216796875
LGA10250,Ballina,695.14002,463.46875,639.5,424.0,616.27321,587.5,240.0,360.0,470.0,580.0,0.0,460.0,350.0,510.0,415.0,455.0,450.0,2072,4856,2384,1571,3581,4669,5759,6434,5503,3203,1755,6928,24398,10461,16.579318926939003,58.386579558235816,25.03410151482518,33984,4609,88.05741973933095,11.942580260669034,14511,2414,9963,2851,1672,92,26888,4615,85.35060153001302,14.649398469986984,48,601,1426,1156,2.3,17046,1179,3849,2754,10027,17809,48.90546549992828,3.3825849949791995,11.042891981064411,7.9013054081193514,28.767752115908767,51.094534500071724,0,33984,3,0,4,91,30,62,12,5,1421,44,44,141,12,22,107,33,13,0,71,92,58,25,4,52,27,7,4,8,152,657,16,6,68,110,20,172,25,232,11,27,4,68,0,5,146,30,53,33,404,3195,14389,2033,9527,2451,1544,88,3287,5.892139988525531,32.237521514629954,27.79977051061388,60.03729202524383,12.059667240390134,6.534710269650028,18.59437751004016,3.195639701663798,2.0625358577165804,10.218014916810098,0.5053191489361702,5.0620567375886525,21.72872340425532,26.790780141843967,20.23936170212766,13.156028368794324,33.395390070921984,17.934397163120572,6.090425531914892,4.875886524822695,1.702127659574468,0.008697797791622972,14.588859416445624,23.502559990130163,38.09141940657578,17.57448645981124,11.023379186971807,28.597865646783053,13.737585590031461,5.089137005736847,3.707359200542841,6.896551724137932,3.0103016470297947,5.9,53.2,50.1,1071,741,4734,3324,6380,430,938,7753,0.5221461131560344,0.36126075616117787,2.307973575798942,1.620554323184555,3.110450235233893,0.6669429344514053,2.0164298076688687,484.9389,60.0,7.0,0.0,0.0,0.0,67.0,0.0,67.0,2576,0.09000000357627869,0.619945644591906,20.86000061035156,1596.97998046875,2576,0.12999999523162842,0.6508734566824776,23.88999938964844,1676.6500244140625
LGA10300,Balranald,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,143,336,135,132,233,276,290,377,202,131,35,479,1443,368,20.91703056768559,63.01310043668122,16.06986899563319,1869,144,92.84649776453057,7.15350223546945,514,208,439,186,183,15,1161,384,75.14563106796116,24.854368932038838,41,624,1438,1174,2.5,897,50,132,114,608,904,49.80566352026652,2.77623542476402,7.3292615213770125,6.329816768461965,33.75902276513048,50.19433647973348,0,1869,0,0,0,0,0,4,0,0,18,14,0,3,0,0,7,0,0,0,3,22,0,3,0,12,0,3,0,3,0,13,0,0,0,3,0,4,0,0,0,0,4,7,0,0,3,0,0,0,20,281,503,192,414,167,180,15,248,8.74377421140011,25.733259546209194,28.610957387935805,54.344216934144995,12.83895960154953,3.818483674598783,16.657443276148314,2.8776978417266186,1.549529607083564,15.827338129496402,1.9097222222222223,4.340277777777779,19.444444444444443,23.784722222222218,19.27083333333333,15.972222222222221,35.243055555555564,16.319444444444443,2.6041666666666665,2.951388888888889,3.9930555555555554,0.01761006289308176,13.962264150943394,19.62264150943396,33.58490566037736,17.610062893081764,13.333333333333336,30.94339622641509,13.20754716981132,2.2641509433962264,2.5157232704402515,10.817610062893081,4.90566037735849,5.3,57.8,54.4,21,13,94,80,250,26,19,300,0.276789244760775,0.17134572294714642,1.2389613813101357,1.0544352181362855,3.295110056675893,0.5931198102016607,3.9409516277843686,21690.6753,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,121835,0.07000000029802322,0.20166981086100053,10.460000038146973,24570.44140625,121835,0.10000000149011612,0.2598249072772602,10.84000015258789,31655.767578125
LGA10470,Bathurst Regional,436.94775999999996,293.44444,417.0,280.0,426.22967,405.0,190.0,270.0,320.0,415.0,0.0,310.0,260.0,340.0,310.0,280.0,310.0,2546,5571,2980,3148,5171,4878,5238,4991,3862,2019,892,8117,26406,6773,19.6556567222007,63.94323905462998,16.401104223169312,34538,3565,90.6437813295541,9.356218670445896,14024,2202,9053,2475,1466,98,25279,4039,86.22348045569275,13.77651954430725,37,646,1632,1310,2.5,14936,1147,2885,1854,12365,18251,45.00557447193178,3.45617259770392,8.693162985506373,5.586524844065447,37.258565100792474,54.99442552806823,9,34538,37,9,10,58,12,121,21,19,802,49,27,99,20,23,172,17,25,14,61,46,26,24,38,46,26,8,4,52,104,436,19,30,29,155,19,162,22,103,14,47,3,49,8,0,72,65,21,21,297,3195,13902,1795,8606,2055,1304,98,3806,7.452480645841493,28.493538572762603,24.589571346808448,53.08310991957104,13.519293912100489,8.178449859927102,21.697743772027593,4.132903575624304,1.5031478748079643,12.130614212127602,0.6799369333858889,5.498620417816318,17.836026803310997,23.33464722112732,17.027985810011824,12.859676783602678,29.8876625936145,21.28498226251478,9.184075679936932,4.7497043752463535,1.7047694126921562,0.010693701826262066,13.735157280744392,19.936115547531426,33.67127282827581,16.339143115061454,11.742240122213733,28.08138323727519,16.387750850635378,7.1522810915908615,3.7011318658426497,7.3189361849871535,2.6178737587667524,6.0,58.3,54.8,951,645,3759,2672,6508,526,818,7856,0.4888329178339202,0.3315428307075484,1.9322007761700375,1.3734611529466192,3.3452414608445347,0.6908427356138682,2.3177156955974194,3817.8646,136.0,6.0,0.0,1.0,0.0,142.0,1.0,143.0,21325,0.059999998658895486,0.33409943306711604,48.86999893188477,7124.67041015625,21325,0.07999999821186066,0.3717627124853458,46.0099983215332,7927.83984375
LGA10550,Bega Valley,480.04897,292.83431,460.0,285.0,431.58223,420.0,205.0,270.0,350.0,400.0,0.0,0.0,265.0,355.0,350.0,330.0,320.0,1468,3789,1792,1189,2482,3120,4648,6154,5060,2546,999,5257,19385,8605,15.811952958161635,58.306012572562935,25.88203446927542,26446,3860,87.26324820167623,12.736751798323764,10548,2652,7926,2252,1525,56,21126,3833,84.64281421531311,15.357185784686886,51,538,1242,986,2.2,13807,1058,3296,2021,7808,14183,49.328331546981055,3.779921400500178,11.775634155055375,7.220435869953555,27.895677027509823,50.671668453018945,0,26446,3,0,4,54,12,37,16,14,1437,16,25,238,18,8,46,23,8,0,61,54,23,17,3,31,30,6,0,8,204,375,28,3,18,120,25,159,16,85,16,11,3,59,4,5,131,20,38,11,359,2946,10445,2404,7647,2020,1454,56,2931,5.870582770572051,36.49908886268625,27.248365312466504,63.74745417515275,11.687569228570409,5.120234394540322,16.80780362311073,2.150998677957624,1.0969378640082896,10.326222889198558,0.8436944937833037,7.493339253996448,24.078596802841922,31.571936056838364,21.76953818827709,11.68960923623446,33.459147424511535,15.042184724689164,4.262877442273535,2.420071047957371,1.6762877442273534,0.011342155009451795,18.83553875236295,25.17958412098299,44.01512287334594,18.43478260869565,9.285444234404538,27.72022684310019,11.085066162570886,3.4102079395085068,1.8071833648393196,7.8109640831758025,3.0170132325141776,5.4,49.7,47.0,651,598,2947,2331,5493,437,730,6669,0.40233117232258186,0.3695760999215114,1.8213056295463117,1.4406051654131156,3.394785145265656,0.7212296130575315,2.285438825267139,6278.8811,79.0,7.0,0.0,0.0,0.0,86.0,0.0,86.0,36524,0.029999999329447743,0.19882735228462792,18.239999771118164,7261.97021484375,36524,0.119999997317791,0.2696623977128053,14.729999542236328,9849.1494140625
LGA10600,Bellingen,561.5535699999998,0.0,547.5,0.0,556.7894699999998,545.0,0.0,300.0,365.0,450.0,0.0,0.0,267.5,365.0,0.0,0.0,330.0,605,1594,719,396,953,1324,1824,2240,1718,924,368,2199,7456,3010,17.36281089617055,58.87090406632451,23.766285037504936,10173,1495,87.18717860815906,12.81282139184093,4217,760,2991,961,528,25,7968,1514,84.03290445053786,15.967095549462135,49,515,1218,997,2.3,4698,396,1402,736,3228,5762,44.913957934990435,3.7858508604206498,13.40344168260038,7.036328871892925,30.860420650095605,55.086042065009565,0,10173,0,0,0,28,10,8,0,3,568,8,26,91,0,11,23,5,0,0,24,11,5,3,0,14,0,0,0,0,67,169,5,0,14,20,5,65,7,44,0,0,3,7,0,3,50,3,26,7,152,1005,4171,643,2868,859,483,25,957,7.11760771949938,37.202636858698774,27.075570841692944,64.2782077003917,10.55698863093532,5.2450558899398105,15.802044520875132,2.426674309735359,1.050921945160982,9.32454380433744,0.5807200929152149,6.939605110336817,25.958188153310104,32.897793263646925,21.428571428571427,12.775842044134727,34.20441347270616,13.67595818815331,4.094076655052265,2.4099883855981417,1.5389082462253194,0.011265338966002816,18.084892375779518,25.367129350231338,43.452021726010855,18.004425668879506,10.420438543552605,28.4248642124321,10.88312210822772,3.27901830617582,1.9915509957754982,7.805270569301951,3.03761818547576,7.2,50.4,46.8,314,228,1405,975,1970,153,271,2401,0.5090048468932873,0.36959587608811945,2.277553534665824,1.5805086806399844,3.1934380521648915,0.6873186467603625,1.9403783494626268,1600.4337,14.0,1.0,0.0,1.0,0.0,15.0,1.0,16.0,8658,0.029999999329447743,0.2130087757529164,5.949999809265138,1844.22998046875,8658,0.05000000074505806,0.2411145840100918,5.1599998474121085,2087.570068359375
LGA10650,Berrigan,249.65,0.0,225.0,0.0,241.62121000000002,222.5,0.0,167.5,245.0,0.0,0.0,0.0,175.0,240.0,0.0,0.0,210.0,471,972,421,331,747,843,936,1304,1370,739,313,1443,4582,2422,17.082988043092218,54.244110335030186,28.67290162187759,6866,651,91.33963017161102,8.660369828388985,2069,918,1809,736,539,25,4796,1300,78.6745406824147,21.325459317585302,49,524,1251,967,2.2,3679,258,690,624,1772,3344,52.385020646447394,3.6736437419906025,9.824861170439982,8.885091841093551,25.231382600028482,47.614979353552606,0,6866,0,0,0,11,0,10,0,6,168,0,0,39,0,0,22,0,0,6,7,9,0,3,0,21,3,0,0,3,42,93,7,0,0,44,3,38,0,17,3,15,0,3,0,0,10,0,5,4,55,948,2047,878,1748,677,523,25,901,6.111981763784015,35.9167972645676,26.043595953839574,61.960393218407184,10.671035760079784,4.943724177233224,15.614759937313009,2.1370565607636416,1.2537398489813365,12.922068670750821,1.0818438381937912,7.61994355597366,24.035747883349014,31.655691439322677,20.46095954844779,12.935089369708374,33.39604891815616,15.23988711194732,3.48071495766698,3.104421448730009,2.822201317027281,0.01285583103764922,19.55922865013774,24.579124579124574,44.13835322926232,16.835016835016837,10.1010101010101,26.936026936026934,11.172329354147537,3.122130394857668,1.989592898683808,6.6115702479338845,4.744413835322926,4.8,49.2,46.8,53,67,494,460,1355,82,133,1565,0.145816711145349,0.184334332957328,1.3591217982226869,1.2655790023935949,3.7279555396593933,0.5915206206839629,3.078658486257462,2065.7759,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,11854,0.07999999821186066,0.2375839642736629,11.260000228881836,2816.3203125,11854,0.15000000596046448,0.29654800314635354,12.4399995803833,3515.280029296875
LGA10750,Blacktown,795.08317,550.4590999999998,780.0,550.0,750.6276799999999,737.0,280.0,380.0,450.0,580.0,0.0,430.0,380.0,477.5,395.0,470.0,450.0,26928,49739,23289,22830,52249,51402,42063,33702,21536,9674,3553,76667,225535,34763,22.752214621696616,66.93128366447553,10.316501713827844,182150,136294,57.2000100488626,42.799989951137405,143974,15112,52041,15160,12616,3004,211127,30780,87.2761019730723,12.723898026927705,33,672,1817,1711,3.2,136045,8575,17266,11356,87055,124252,52.26529694925412,3.294313803078791,6.6331920844266365,4.362708751925685,33.444488411314765,47.73470305074588,2342,182150,2427,506,141,294,668,4658,1025,1955,5287,7080,167,952,692,944,25761,1483,1550,1684,613,1291,145,1478,1845,1341,2269,679,820,1388,492,8040,211,4111,143,21917,932,894,541,1787,525,4895,287,621,192,1335,816,990,124,324,15616,18522,142391,11285,48237,12201,12005,2998,18047,12.635610670600526,25.876667281332594,24.028059499661932,49.90472678099453,16.1342123056119,8.260341754256562,24.394554059868458,4.292289015919848,1.3372825619275923,7.43553691068904,1.5658716798662344,5.124670952289494,14.934529391162881,20.05920034345237,15.083660027340615,13.594613220656855,28.67827324799747,23.744534701117352,10.192853027238936,6.2894716030413615,1.519550800447392,0.013093742891897506,9.312974079531633,14.727493893212811,24.040467972744445,14.471354965040494,12.688272001740556,27.159626966781047,21.430619974880585,9.812395541798114,6.601263882433221,7.502200421294145,2.144050950878685,7.3,62.8,58.2,14020,2983,40305,22969,35577,3039,5249,43865,1.0347321652619303,0.22015735014096569,2.9746704651128457,1.6952042156848273,2.6257251243597497,0.6116876024030584,1.7191905176612987,240.0487,2021.0,0.0,0.0,11.0,0.0,2021.0,11.0,2032.0,1345,1.0599999427795408,16.021055994423794,98.58999633789062,21548.3203125,1345,1.2699999809265137,17.27464713057621,90.9000015258789,23234.400390625
LGA10800,Bland,185.63043000000002,0.0,165.0,0.0,185.63043000000002,165.0,,,,,,,,,,,210.0,351,876,333,267,588,680,709,866,626,442,211,1227,3443,1279,20.625315179021683,57.87527315515213,21.49941166582619,4890,287,94.45624879273713,5.543751207262894,1325,310,1596,469,319,7,3231,795,80.25335320417288,19.746646795827125,43,580,1360,1100,2.4,2544,151,326,401,1300,2178,53.875476493011426,3.197797543413808,6.903854299025839,8.492164337145278,27.530707327403647,46.12452350698857,0,4890,0,0,0,10,0,10,0,0,73,0,0,6,0,3,13,3,0,0,4,3,0,0,0,0,3,0,0,0,8,32,0,0,25,20,0,0,0,20,0,7,3,3,0,0,5,4,3,3,29,769,1300,269,1559,422,301,7,683,7.04492723054208,30.07804260704493,24.319763762919216,54.397806369964144,11.558742881248682,6.137945581101032,17.696688462349716,3.2482598607888638,2.256907825353301,15.355410251001894,1.2709030100334449,6.889632107023411,20.133779264214052,27.023411371237454,18.929765886287626,12.575250836120404,31.505016722408023,15.050167224080267,6.68896321070234,4.5484949832775925,2.94314381270903,0.013895321908290877,16.35016211208893,21.72301991662807,38.073182028717,17.322834645669293,10.653080129689672,27.975914775358962,11.394163964798516,5.187586845761927,3.1496062992125986,7.966651227420102,4.863362667901807,3.6,55.8,53.8,37,37,323,250,841,80,108,1023,0.15377581979136362,0.15377581979136362,1.3424213457462284,1.0390258094011056,3.4952828228253185,0.7813474086696314,3.4121607580732305,8557.6535,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,48034,0.03999999910593033,0.1956318538691344,57.25,9396.98046875,48034,0.119999997317791,0.2680859440058084,64.58000183105469,12877.240234375
