LGA_CODE,LGA_NAME,r_one_br,r_two_br,r_three_br,r_four_or_more_br,r_bedsitter,r_not_specified,r_flat,r_house,r_other,r_townhouse,r_weekly_rent_median
LGA10050,Albury,178.0,235.0,310.0,400.0,0.0,0.0,210.0,320.0,0.0,305.0,275.0
LGA10130,Armidale Regional,181.0,250.0,348.0,420.0,0.0,0.0,250.0,350.0,0.0,0.0,300.0
LGA10250,Ballina,298.0,380.0,500.0,625.0,0.0,0.0,370.0,573.0,380.0,465.0,478.0
LGA10470,Bathurst Regional,215.0,280.0,340.0,420.0,0.0,350.0,260.0,370.0,300.0,330.0,330.0
LGA10550,Bega Valley,210.0,300.0,360.0,440.0,0.0,0.0,300.0,360.0,0.0,360.0,350.0
LGA10600,Bellingen,0.0,300.0,385.0,463.0,0.0,0.0,235.0,400.0,0.0,0.0,360.0
LGA10650,Berrigan,0.0,165.0,250.0,340.0,0.0,0.0,150.0,250.0,0.0,0.0,240.0
LGA10750,Blacktown,280.0,370.0,420.0,560.0,0.0,400.0,370.0,450.0,373.0,450.0,420.0
LGA10850,Blayney,0.0,0.0,288.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,288.0
LGA10900,Blue Mountains,295.0,370.0,430.0,550.0,0.0,0.0,330.0,430.0,0.0,410.0,420.0
LGA11150,Bourke,0.0,0.0,255.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,250.0
LGA11250,Broken Hill,193.0,220.0,250.0,320.0,0.0,0.0,185.0,250.0,0.0,0.0,240.0
LGA11300,Burwood,480.0,580.0,680.0,820.0,320.0,565.0,550.0,700.0,475.0,620.0,560.0
LGA11350,Byron,355.0,510.0,650.0,850.0,0.0,0.0,470.0,675.0,498.0,610.0,620.0
LGA11400,Cabonne,0.0,0.0,300.0,350.0,0.0,0.0,0.0,300.0,0.0,0.0,300.0
LGA11450,Camden,313.0,350.0,450.0,530.0,0.0,495.0,340.0,503.0,400.0,435.0,500.0
LGA11500,Campbelltown,270.0,350.0,400.0,500.0,0.0,383.0,350.0,420.0,360.0,360.0,395.0
LGA11520,Canada Bay,500.0,600.0,750.0,875.0,0.0,550.0,580.0,730.0,530.0,685.0,600.0
