LGA_CODE,LGA_NAME,s_mean_nonstrata,s_mean_strata,s_median_nonstrata,s_median_strata,s_mean_sales,s_median_sales,r_one_br,r_two_br,r_three_br,r_four_or_more_br,r_bedsitter,r_not_specified,r_flat,r_house,r_other,r_townhouse,r_weekly_rent_median
LGA10050,Albury,370.0,205.0,352.0,212.0,340.0,320.0,178.0,235.0,310.0,400.0,0.0,0.0,210.0,320.0,0.0,305.0,275.0
LGA10130,Armidale Regional,362.0,0.0,360.0,0.0,355.0,350.0,181.0,250.0,348.0,420.0,0.0,0.0,250.0,350.0,0.0,0.0,300.0
LGA10250,Ballina,698.0,536.0,640.0,515.0,635.0,577.0,298.0,380.0,500.0,625.0,0.0,0.0,370.0,573.0,380.0,465.0,478.0
LGA10300,Balranald,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
LGA10470,Bathurst Regional,457.0,289.0,435.0,310.0,440.0,425.0,215.0,280.0,340.0,420.0,0.0,350.0,260.0,370.0,300.0,330.0,330.0
LGA10550,Bega Valley,515.0,307.0,485.0,290.0,463.0,422.0,210.0,300.0,360.0,440.0,0.0,0.0,300.0,360.0,0.0,360.0,350.0
LGA10600,Bellingen,552.0,0.0,533.0,0.0,552.0,533.0,0.0,300.0,385.0,463.0,0.0,0.0,235.0,400.0,0.0,0.0,360.0
LGA10650,Berrigan,240.0,0.0,249.0,0.0,233.0,247.0,0.0,165.0,250.0,340.0,0.0,0.0,150.0,250.0,0.0,0.0,240.0
LGA10750,Blacktown,702.0,521.0,684.0,525.0,670.0,645.0,280.0,370.0,420.0,560.0,0.0,400.0,370.0,450.0,373.0,450.0,420.0
LGA10800,Bland,165.0,0.0,163.0,0.0,165.0,163.0,,,,,,,0.0,253.0,0.0,0.0,250.0
LGA10850,Blayney,428.0,0.0,395.0,0.0,428.0,395.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,288.0
LGA10900,Blue Mountains,679.0,542.0,650.0,551.0,669.0,645.0,295.0,370.0,430.0,550.0,0.0,0.0,330.0,430.0,0.0,410.0,420.0
LGA10950,Bogan,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,260.0,0.0,0.0,240.0
LGA11150,Bourke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,250.0
