LGA_CODE,LGA_NAME,s_mean_nonstrata,s_mean_strata,s_median_nonstrata,s_median_strata,s_mean_sales,s_median_sales
LGA10050,Albury,370.0,205.0,352.0,212.0,340,320
LGA10130,Armidale Regional,362.0,0.0,360.0,0.0,355,350
LGA10250,Ballina,698.0,536.0,640.0,515.0,635,577
LGA10300,Balranald,0.0,0.0,0.0,0.0,0,0
LGA10470,Bathurst Regional,457.0,289.0,435.0,310.0,440,425
LGA10550,Bega Valley,515.0,307.0,485.0,290.0,463,422
LGA10600,Bellingen,552.0,0.0,533.0,0.0,552,533
LGA10650,Berrigan,240.0,0.0,249.0,0.0,233,247
LGA10750,Blacktown,702.0,521.0,684.0,525.0,670,645
LGA10800,Bland,165.0,0.0,163.0,0.0,165,163
LGA10850,Blayney,428.0,0.0,395.0,0.0,428,395
LGA10900,Blue Mountains,679.0,542.0,650.0,551.0,669,645
LGA10950,Bogan,0.0,0.0,0.0,0.0,0,0
LGA11150,Bourke,0.0,0.0,0.0,0.0,0,0
LGA11250,Broken Hill,150.0,0.0,133.0,0.0,150,133
LGA11300,Burwood,1433.0,719.0,1249.0,695.0,919,778
LGA11350,Byron,1055.0,797.0,945.0,753.0,977,870
LGA11400,Cabonne,278.0,0.0,210.0,0.0,278,210
LGA11450,Camden,720.0,505.0,700.0,489.0,708,688
LGA11500,Campbelltown,584.0,425.0,571.0,420.0,555,545
LGA11520,Canada Bay,1701.0,924.0,1688.0,854.0,1171,1020
LGA11570,Canterbury-Bankstown,879.0,593.0,855.0,547.0,759,755
LGA11600,Carrathool,0.0,0.0,0.0,0.0,0,0
LGA11650,Central Coast,665.0,523.0,620.0,490.0,635,588
LGA11720,Cessnock,442.0,294.0,400.0,278.0,426,393
LGA11730,Clarence Valley,419.0,388.0,393.0,375.0,414,390
LGA11750,Cobar,0.0,0.0,0.0,0.0,0,0
LGA11800,Coffs Harbour,572.0,356.0,545.0,328.0,521,493
LGA12000,Coolamon,244.0,0.0,205.0,0.0,244,205
LGA12150,Coonamble,0.0,0.0,0.0,0.0,0,0
LGA13510,Gundagai,259.0,0.0,239.0,0.0,259,239
LGA12350,Cowra,300.0,0.0,257.0,0.0,300,257
LGA12380,Cumberland,789.0,527.0,770.0,538.0,673,670
LGA18230,Western Plains Regional,372.0,0.0,350.0,0.0,368,350
LGA12700,Dungog,495.0,0.0,453.0,0.0,495,453
LGA12730,Edward River,238.0,0.0,240.0,0.0,238,240
LGA12750,Eurobodalla,527.0,332.0,490.0,318.0,503,478
LGA12850,Fairfield,725.0,424.0,719.0,421.0,661,680
LGA12870,Federation,287.0,0.0,260.0,0.0,295,260
LGA12900,Forbes,252.0,0.0,229.0,0.0,252,229
LGA12930,Georges River,1231.0,655.0,1200.0,650.0,923,810
LGA12950,Gilgandra,183.0,0.0,169.0,0.0,183,169
LGA13010,Glen Innes Severn,223.0,0.0,203.0,0.0,223,203
LGA13310,Goulburn Mulwaree,427.0,0.0,410.0,0.0,424,410
LGA13340,Greater Hume Shire,216.0,0.0,199.0,0.0,216,199
LGA13450,Griffith,390.0,0.0,355.0,0.0,390,355
LGA13550,Gunnedah,313.0,0.0,315.0,0.0,313,315
LGA13660,Gwydir,0.0,0.0,0.0,0.0,0,0
LGA13800,Hawkesbury,834.0,443.0,750.0,470.0,762,700
LGA13850,Hay,0.0,0.0,0.0,0.0,0,0
LGA13910,Hilltops,276.0,0.0,250.0,0.0,276,250
LGA14000,Hornsby,1221.0,648.0,1175.0,646.0,1011,1018
LGA14100,Hunters Hill,2769.0,1541.0,2500.0,1620.0,2347,2260
LGA14170,Inner West,1465.0,749.0,1353.0,699.0,1154,1100
LGA14200,Inverell,268.0,0.0,255.0,0.0,268,255
LGA14300,Junee,0.0,0.0,0.0,0.0,0,0
LGA14350,Kempsey,359.0,0.0,341.0,0.0,360,341
LGA14400,Kiama,918.0,598.0,833.0,610.0,845,773
LGA14500,Ku-Ring-Gai,2065.0,951.0,1910.0,880.0,1634,1525
LGA14550,Kyogle,300.0,0.0,284.0,0.0,300,284
LGA14600,Lachlan,151.0,0.0,137.0,0.0,151,137
LGA14650,Lake Macquarie,609.0,458.0,580.0,447.0,592,558
LGA14700,Lane Cove,2205.0,853.0,2000.0,777.0,1267,968
LGA14750,Leeton,268.0,0.0,253.0,0.0,254,231
LGA14850,Lismore,419.0,276.0,382.0,280.0,407,376
LGA14870,Lithgow,411.0,0.0,345.0,0.0,407,345
LGA14900,Liverpool,780.0,498.0,750.0,522.0,724,706
LGA14920,Liverpool Plains,260.0,0.0,223.0,0.0,260,223
LGA14950,Lockhart,0.0,0.0,0.0,0.0,0,0
LGA15050,Maitland,492.0,350.0,470.0,340.0,481,453
LGA15240,Mid-Coast,457.0,390.0,415.0,365.0,446,410
LGA15270,Mid-Western Regional,412.0,0.0,408.0,0.0,409,405
LGA15300,Moree Plains,215.0,0.0,193.0,0.0,215,193
LGA15350,Mosman,3991.0,1145.0,3603.0,963.0,2167,1478
LGA15520,Murray River,376.0,0.0,320.0,0.0,367,318
LGA15560,Murrumbidgee,0.0,0.0,0.0,0.0,0,0
LGA15650,Muswellbrook,324.0,0.0,325.0,0.0,318,320
LGA15700,Nambucca,420.0,0.0,400.0,0.0,410,378
LGA15750,Narrabri,272.0,0.0,250.0,0.0,272,250
LGA15800,Narrandera,194.0,0.0,186.0,0.0,194,186
LGA15850,Narromine,0.0,0.0,0.0,0.0,0,0
LGA15900,Newcastle,650.0,551.0,600.0,510.0,626,580
LGA15950,North Sydney,2343.0,1140.0,2278.0,1043.0,1368,1195
LGA15990,Northern Beaches,1722.0,908.0,1600.0,800.0,1323,1237
LGA16100,Oberon,454.0,0.0,385.0,0.0,454,385
LGA16150,Orange,435.0,284.0,412.0,261.0,416,403
LGA16200,Parkes,295.0,0.0,276.0,0.0,293,271
LGA16260,Parramatta,1068.0,642.0,1010.0,647.0,815,754
LGA16350,Penrith,650.0,451.0,643.0,460.0,603,610
LGA16380,Port Macquarie-Hastings,583.0,420.0,563.0,398.0,542,525
LGA16400,Port Stephens,587.0,436.0,583.0,400.0,547,518
LGA16490,Queanbeyan-Palerang Regional,668.0,325.0,639.0,350.0,556,531
LGA16550,Randwick,2061.0,943.0,1960.0,860.0,1323,1060
LGA16610,Richmond Valley,316.0,0.0,300.0,0.0,317,303
LGA16700,Ryde,1428.0,739.0,1335.0,685.0,998,895
LGA16900,Shellharbour,646.0,483.0,630.0,490.0,617,600
LGA16950,Shoalhaven,605.0,402.0,560.0,403.0,592,540
LGA17000,Singleton,450.0,291.0,428.0,310.0,414,375
LGA17040,Snowy Monaro Regional,379.0,376.0,350.0,354.0,379,350
LGA17080,Snowy Valleys,288.0,0.0,260.0,0.0,288,260
LGA17100,Strathfield,2499.0,627.0,2250.0,633.0,1128,670
LGA17150,Sutherland Shire,1159.0,735.0,1050.0,700.0,960,880
LGA17200,Sydney,1585.0,956.0,1500.0,840.0,1061,930
LGA17310,Tamworth Regional,360.0,0.0,335.0,0.0,354,329
LGA17350,Temora,258.0,0.0,250.0,0.0,258,250
LGA17400,Tenterfield,254.0,0.0,240.0,0.0,254,240
LGA17420,The Hills Shire,1194.0,733.0,1128.0,721.0,1098,1050
LGA17550,Tweed,682.0,450.0,645.0,440.0,594,560
LGA17620,Upper Hunter Shire,344.0,0.0,338.0,0.0,342,329
LGA17640,Upper Lachlan Shire,418.0,0.0,390.0,0.0,418,390
LGA17650,Uralla,332.0,0.0,343.0,0.0,332,343
LGA17750,Wagga Wagga,392.0,252.0,344.0,272.0,382,330
LGA17850,Walcha,0.0,0.0,0.0,0.0,0,0
LGA17900,Walgett,0.0,0.0,0.0,0.0,0,0
LGA17950,Warren,0.0,0.0,0.0,0.0,0,0
LGA18020,Warrumbungle Shire,169.0,0.0,160.0,0.0,169,160
LGA18050,Waverley,2830.0,1874.0,2620.0,1100.0,2184,1451
LGA18100,Weddin,0.0,0.0,0.0,0.0,0,0
LGA18200,Wentworth,257.0,0.0,298.0,0.0,257,298
LGA18250,Willoughby,2291.0,975.0,2105.0,883.0,1526,1350
LGA18350,Wingecarribee,905.0,556.0,790.0,530.0,874,769
LGA18400,Wollondilly,757.0,0.0,670.0,0.0,748,665
LGA18450,Wollongong,712.0,577.0,678.0,543.0,666,635
