LGA_CODE,LGA_NAME,one_br,two_br,three_br,four_or_more_br,bedsitter,not_specified
LGA10050,Albury,162.5,220.0,290.0,375.0,0.0,280.0
LGA10130,Armidale Regional,170.0,240.0,322.5,410.0,0.0,250.0
LGA10250,Ballina,240.0,360.0,470.0,580.0,0.0,460.0
LGA10470,Bathurst Regional,190.0,270.0,320.0,415.0,0.0,310.0
LGA10550,Bega Valley,205.0,270.0,350.0,400.0,0.0,0.0
LGA10600,Bellingen,0.0,300.0,365.0,450.0,0.0,0.0
LGA10650,Berrigan,0.0,167.5,245.0,0.0,0.0,0.0
LGA10750,Blacktown,280.0,380.0,450.0,580.0,0.0,430.0
LGA10850,Blayney,0.0,0.0,270.0,340.0,0.0,0.0
LGA10900,Blue Mountains,295.0,370.0,440.0,550.0,0.0,0.0
LGA11250,Broken Hill,185.0,200.0,240.0,360.0,0.0,0.0
LGA11300,Burwood,450.0,577.5,720.0,760.0,0.0,580.0
LGA11350,Byron,350.0,480.0,600.0,750.0,0.0,0.0
LGA11400,Cabonne,0.0,0.0,260.0,0.0,0.0,0.0
LGA11450,Camden,320.0,392.5,460.0,532.5,0.0,510.0
LGA11500,Campbelltown,280.0,350.0,410.0,500.0,0.0,405.0
LGA11520,Canada Bay,510.0,650.0,780.0,972.5,0.0,600.0
LGA11570,Canterbury-Bankstown,390.0,430.0,550.0,680.0,280.0,430.0
LGA11650,Central Coast,270.0,350.0,430.0,520.0,425.0,400.0
LGA11720,Cessnock,200.0,280.0,330.0,400.0,0.0,320.0
LGA11730,Clarence Valley,215.0,280.0,360.0,437.5,0.0,345.0
LGA11750,Cobar,0.0,170.0,210.0,280.0,0.0,0.0
LGA11800,Coffs Harbour,260.0,320.0,400.0,480.0,0.0,390.0
LGA12150,Coonamble,0.0,0.0,200.0,0.0,0.0,0.0
LGA13510,Gundagai,140.0,200.0,250.0,280.0,0.0,0.0
LGA12350,Cowra,0.0,180.0,250.0,315.0,0.0,0.0
LGA12380,Cumberland,320.0,440.0,520.0,650.0,0.0,435.0
LGA18230,Western Plains Regional,180.0,250.0,320.0,390.0,0.0,255.0
LGA12700,Dungog,0.0,0.0,345.0,0.0,0.0,0.0
LGA12730,Edward River,120.0,190.0,250.0,290.0,0.0,0.0
LGA12750,Eurobodalla,205.0,270.0,350.0,400.0,0.0,320.0
LGA12850,Fairfield,270.0,360.0,470.0,580.0,0.0,470.0
LGA12870,Federation,130.0,185.0,260.0,317.5,0.0,0.0
LGA12900,Forbes,0.0,190.0,245.0,0.0,0.0,0.0
LGA12930,Georges River,420.0,490.0,620.0,800.0,0.0,500.0
LGA12950,Gilgandra,0.0,0.0,220.0,0.0,0.0,0.0
LGA13010,Glen Innes Severn,150.0,195.0,250.0,0.0,0.0,0.0
LGA13310,Goulburn Mulwaree,220.0,267.5,350.0,415.0,0.0,300.0
LGA13340,Greater Hume Shire,0.0,0.0,240.0,0.0,0.0,0.0
LGA13450,Griffith,180.0,250.0,330.0,375.0,0.0,285.0
LGA13550,Gunnedah,0.0,250.0,310.0,425.0,0.0,0.0
LGA13800,Hawkesbury,290.0,362.5,440.0,565.0,0.0,430.0
LGA13850,Hay,0.0,155.0,220.0,0.0,0.0,0.0
LGA13910,Hilltops,0.0,230.0,250.0,320.0,0.0,0.0
LGA14000,Hornsby,440.0,520.0,640.0,800.0,0.0,550.0
LGA14100,Hunters Hill,400.0,600.0,850.0,1300.0,0.0,0.0
LGA14170,Inner West,450.0,600.0,850.0,1100.0,335.0,515.0
LGA14200,Inverell,160.0,210.0,280.0,350.0,0.0,0.0
LGA14300,Junee,0.0,205.0,270.0,0.0,0.0,0.0
LGA14350,Kempsey,0.0,260.0,330.0,380.0,0.0,0.0
LGA14400,Kiama,0.0,420.0,520.0,610.0,0.0,0.0
LGA14500,Ku-Ring-Gai,490.0,640.0,820.0,1200.0,0.0,640.0
LGA14550,Kyogle,0.0,0.0,270.0,0.0,0.0,0.0
LGA14650,Lake Macquarie,250.0,340.0,400.0,490.0,0.0,370.0
LGA14700,Lane Cove,530.0,590.0,845.0,1350.0,0.0,470.0
LGA14750,Leeton,0.0,190.0,250.0,320.0,0.0,0.0
LGA14850,Lismore,182.5,265.0,350.0,450.0,0.0,330.0
LGA14870,Lithgow,0.0,250.0,300.0,370.0,0.0,0.0
LGA14900,Liverpool,327.5,385.0,480.0,592.5,0.0,450.0
LGA14920,Liverpool Plains,0.0,0.0,260.0,0.0,0.0,0.0
LGA15050,Maitland,215.0,290.0,360.0,430.0,0.0,370.0
LGA15240,Mid-Coast,210.0,270.0,350.0,410.0,0.0,270.0
LGA15270,Mid-Western Regional,205.0,270.0,335.0,400.0,0.0,310.0
LGA15300,Moree Plains,135.0,180.0,270.0,360.0,0.0,0.0
LGA15350,Mosman,500.0,680.0,1220.0,2250.0,0.0,735.0
LGA15520,Murray River,0.0,0.0,330.0,0.0,0.0,0.0
LGA15650,Muswellbrook,0.0,200.0,280.0,330.0,0.0,325.0
LGA15700,Nambucca,200.0,260.0,340.0,400.0,0.0,0.0
LGA15750,Narrabri,0.0,200.0,350.0,360.0,0.0,0.0
LGA15800,Narrandera,0.0,0.0,240.0,0.0,0.0,0.0
LGA15850,Narromine,0.0,0.0,0.0,0.0,0.0,265.0
LGA15900,Newcastle,250.0,375.0,440.0,495.0,290.0,360.0
LGA15950,North Sydney,525.0,685.0,1000.0,1600.0,437.0,650.0
LGA15990,Northern Beaches,500.0,640.0,900.0,1200.0,380.0,565.0
LGA16100,Oberon,0.0,0.0,305.0,0.0,0.0,0.0
LGA16150,Orange,220.0,260.0,337.5,410.0,0.0,300.0
LGA16200,Parkes,125.0,200.0,260.0,330.0,0.0,0.0
LGA16260,Parramatta,460.0,510.0,580.0,720.0,340.0,450.0
LGA16350,Penrith,285.0,350.0,420.0,540.0,340.0,420.0
LGA16380,Port Macquarie-Hastings,242.5,310.0,410.0,480.0,0.0,400.0
LGA16400,Port Stephens,220.0,300.0,380.0,475.0,0.0,380.0
LGA16490,Queanbeyan-Palerang Regional,220.0,300.0,440.0,595.0,0.0,0.0
LGA16550,Randwick,510.0,650.0,950.0,1325.0,430.0,537.5
LGA16610,Richmond Valley,0.0,235.0,310.0,367.5,0.0,0.0
LGA16700,Ryde,485.0,510.0,685.0,925.0,0.0,510.0
LGA16900,Shellharbour,0.0,350.0,460.0,580.0,0.0,480.0
LGA16950,Shoalhaven,200.0,300.0,367.5,450.0,0.0,370.0
LGA17000,Singleton,0.0,260.0,330.0,425.0,0.0,0.0
LGA17040,Snowy Monaro Regional,0.0,227.5,320.0,400.0,0.0,0.0
LGA17080,Snowy Valleys,0.0,220.0,270.0,0.0,0.0,0.0
LGA17100,Strathfield,450.0,530.0,635.0,850.0,0.0,550.0
LGA17150,Sutherland Shire,400.0,500.0,650.0,800.0,0.0,560.0
LGA17200,Sydney,545.0,780.0,1020.0,1250.0,434.0,569.0
LGA17310,Tamworth Regional,180.0,250.0,320.0,380.0,0.0,300.0
LGA17350,Temora,0.0,0.0,255.0,0.0,0.0,0.0
LGA17400,Tenterfield,0.0,0.0,240.0,0.0,0.0,0.0
LGA17420,The Hills Shire,390.0,532.5,600.0,710.0,0.0,600.0
LGA17550,Tweed,250.0,360.0,450.0,600.0,0.0,467.5
LGA17620,Upper Hunter Shire,170.0,230.0,257.5,0.0,0.0,0.0
LGA17640,Upper Lachlan Shire,0.0,0.0,285.0,0.0,0.0,0.0
LGA17650,Uralla,0.0,0.0,287.5,0.0,0.0,0.0
LGA17750,Wagga Wagga,190.0,250.0,315.0,395.0,0.0,315.0
LGA18020,Warrumbungle Shire,0.0,0.0,220.0,0.0,0.0,0.0
LGA18050,Waverley,575.0,750.0,1100.0,1812.5,420.0,707.5
LGA18200,Wentworth,0.0,195.0,220.0,0.0,0.0,0.0
LGA18250,Willoughby,550.0,675.0,1000.0,1400.0,380.0,650.0
LGA18350,Wingecarribee,260.0,380.0,460.0,580.0,0.0,475.0
LGA18400,Wollondilly,0.0,350.0,415.0,550.0,0.0,0.0
LGA18450,Wollongong,290.0,390.0,490.0,590.0,0.0,380.0
LGA18500,Woollahra,515.0,737.5,1200.0,1950.0,397.5,750.0
LGA18710,Yass Valley,0.0,335.0,350.0,460.0,0.0,0.0
