LGA_CODE,LGA_NAME,mean_nonstrata,mean_strata
LGA10050,Albury,370.0,205.0
LGA10130,Armidale Regional,362.0,0.0
LGA10250,Ballina,698.0,536.0
LGA10300,Balranald,0.0,0.0
LGA10470,Bathurst Regional,457.0,289.0
LGA10550,Bega Valley,515.0,307.0
LGA10600,Bellingen,552.0,0.0
LGA10650,Berrigan,240.0,0.0
LGA10750,Blacktown,702.0,521.0
LGA10800,Bland,165.0,0.0
LGA10850,Blayney,428.0,0.0
LGA10900,Blue Mountains,679.0,542.0
LGA10950,Bogan,0.0,0.0
LGA11150,Bourke,0.0,0.0
LGA11250,Broken Hill,150.0,0.0
LGA11300,Burwood,1433.0,719.0
LGA11350,Byron,1055.0,797.0
LGA11400,Cabonne,278.0,0.0
LGA11450,Camden,720.0,505.0
LGA11500,Campbelltown,584.0,425.0
LGA11520,Canada Bay,1701.0,924.0
LGA11570,Canterbury-Bankstown,879.0,593.0
LGA11600,Carrathool,0.0,0.0
LGA11650,Central Coast,665.0,523.0
LGA11720,Cessnock,442.0,294.0
LGA11730,Clarence Valley,419.0,388.0
LGA11750,Cobar,0.0,0.0
LGA11800,Coffs Harbour,572.0,356.0
LGA12000,Coolamon,244.0,0.0
LGA12150,Coonamble,0.0,0.0
LGA13510,Gundagai,259.0,0.0
LGA12350,Cowra,300.0,0.0
LGA12380,Cumberland,789.0,527.0
LGA18230,Western Plains Regional,372.0,0.0
LGA12700,Dungog,495.0,0.0
LGA12730,Edward River,238.0,0.0
LGA12750,Eurobodalla,527.0,332.0
LGA12850,Fairfield,725.0,424.0
LGA12870,Federation,287.0,0.0
LGA12900,Forbes,252.0,0.0
LGA12930,Georges River,1231.0,655.0
LGA12950,Gilgandra,183.0,0.0
LGA13010,Glen Innes Severn,223.0,0.0
LGA13310,Goulburn Mulwaree,427.0,0.0
LGA13340,Greater Hume Shire,216.0,0.0
LGA13450,Griffith,390.0,0.0
LGA13550,Gunnedah,313.0,0.0
LGA13660,Gwydir,0.0,0.0
LGA13800,Hawkesbury,834.0,443.0
LGA13850,Hay,0.0,0.0
LGA13910,Hilltops,276.0,0.0
LGA14000,Hornsby,1221.0,648.0
LGA14100,Hunters Hill,2769.0,1541.0
LGA14170,Inner West,1465.0,749.0
LGA14200,Inverell,268.0,0.0
LGA14300,Junee,0.0,0.0
LGA14350,Kempsey,359.0,0.0
LGA14400,Kiama,918.0,598.0
LGA14500,Ku-Ring-Gai,2065.0,951.0
LGA14550,Kyogle,300.0,0.0
LGA14600,Lachlan,151.0,0.0
LGA14650,Lake Macquarie,609.0,458.0
LGA14700,Lane Cove,2205.0,853.0
LGA14750,Leeton,268.0,0.0
LGA14850,Lismore,419.0,276.0
LGA14870,Lithgow,411.0,0.0
LGA14900,Liverpool,780.0,498.0
LGA14920,Liverpool Plains,260.0,0.0
LGA14950,Lockhart,0.0,0.0
LGA15050,Maitland,492.0,350.0
LGA15240,Mid-Coast,457.0,390.0
LGA15270,Mid-Western Regional,412.0,0.0
LGA15300,Moree Plains,215.0,0.0
LGA15350,Mosman,3991.0,1145.0
LGA15520,Murray River,376.0,0.0
LGA15560,Murrumbidgee,0.0,0.0
LGA15650,Muswellbrook,324.0,0.0
LGA15700,Nambucca,420.0,0.0
LGA15750,Narrabri,272.0,0.0
LGA15800,Narrandera,194.0,0.0
LGA15850,Narromine,0.0,0.0
LGA15900,Newcastle,650.0,551.0
LGA15950,North Sydney,2343.0,1140.0
LGA15990,Northern Beaches,1722.0,908.0
LGA16100,Oberon,454.0,0.0
LGA16150,Orange,435.0,284.0
LGA16200,Parkes,295.0,0.0
LGA16260,Parramatta,1068.0,642.0
LGA16350,Penrith,650.0,451.0
LGA16380,Port Macquarie-Hastings,583.0,420.0
LGA16400,Port Stephens,587.0,436.0
LGA16490,Queanbeyan-Palerang Regional,668.0,325.0
LGA16550,Randwick,2061.0,943.0
LGA16610,Richmond Valley,316.0,0.0
LGA16700,Ryde,1428.0,739.0
LGA16900,Shellharbour,646.0,483.0
LGA16950,Shoalhaven,605.0,402.0
LGA17000,Singleton,450.0,291.0
LGA17040,Snowy Monaro Regional,379.0,376.0
LGA17080,Snowy Valleys,288.0,0.0
LGA17100,Strathfield,2499.0,627.0
LGA17150,Sutherland Shire,1159.0,735.0
LGA17200,Sydney,1585.0,956.0
LGA17310,Tamworth Regional,360.0,0.0
LGA17350,Temora,258.0,0.0
LGA17400,Tenterfield,254.0,0.0
LGA17420,The Hills Shire,1194.0,733.0
LGA17550,Tweed,682.0,450.0
LGA17620,Upper Hunter Shire,344.0,0.0
LGA17640,Upper Lachlan Shire,418.0,0.0
LGA17650,Uralla,332.0,0.0
LGA17750,Wagga Wagga,392.0,252.0
LGA17850,Walcha,0.0,0.0
LGA17900,Walgett,0.0,0.0
LGA17950,Warren,0.0,0.0
LGA18020,Warrumbungle Shire,169.0,0.0
LGA18050,Waverley,2830.0,1874.0
LGA18100,Weddin,0.0,0.0
LGA18200,Wentworth,257.0,0.0
LGA18250,Willoughby,2291.0,975.0
LGA18350,Wingecarribee,905.0,556.0
LGA18400,Wollondilly,757.0,0.0
LGA18450,Wollongong,712.0,577.0
LGA18500,Woollahra,4434.0,1664.0
LGA18710,Yass Valley,664.0,0.0
