LGA_CODE,LGA_NAME,median_sales
LGA10050,Albury,320
LGA10130,Armidale Regional,350
LGA10250,Ballina,577
LGA10300,Balranald,0
LGA10470,Bathurst Regional,425
LGA10550,Bega Valley,422
LGA10600,Bellingen,533
LGA10650,Berrigan,247
LGA10750,Blacktown,645
LGA10800,Bland,163
LGA10850,Blayney,395
LGA10900,Blue Mountains,645
LGA10950,Bogan,0
LGA11150,Bourke,0
LGA11250,Broken Hill,133
LGA11300,Burwood,778
LGA11350,Byron,870
LGA11400,Cabonne,210
LGA11450,Camden,688
LGA11500,Campbelltown,545
LGA11520,Canada Bay,1020
LGA11570,Canterbury-Bankstown,755
LGA11600,Carrathool,0
LGA11650,Central Coast,588
LGA11720,Cessnock,393
LGA11730,Clarence Valley,390
LGA11750,Cobar,0
LGA11800,Coffs Harbour,493
LGA12000,Coolamon,205
LGA12150,Coonamble,0
LGA13510,Gundagai,239
LGA12350,Cowra,257
LGA12380,Cumberland,670
LGA18230,Western Plains Regional,350
LGA12700,Dungog,453
LGA12730,Edward River,240
LGA12750,Eurobodalla,478
LGA12850,Fairfield,680
LGA12870,Federation,260
LGA12900,Forbes,229
LGA12930,Georges River,810
LGA12950,Gilgandra,169
LGA13010,Glen Innes Severn,203
LGA13310,Goulburn Mulwaree,410
LGA13340,Greater Hume Shire,199
LGA13450,Griffith,355
LGA13550,Gunnedah,315
LGA13660,Gwydir,0
LGA13800,Hawkesbury,700
LGA13850,Hay,0
LGA13910,Hilltops,250
LGA14000,Hornsby,1018
LGA14100,Hunters Hill,2260
LGA14170,Inner West,1100
LGA14200,Inverell,255
LGA14300,Junee,0
LGA14350,Kempsey,341
LGA14400,Kiama,773
LGA14500,Ku-Ring-Gai,1525
LGA14550,Kyogle,284
LGA14600,Lachlan,137
LGA14650,Lake Macquarie,558
LGA14700,Lane Cove,968
LGA14750,Leeton,231
LGA14850,Lismore,376
LGA14870,Lithgow,345
LGA14900,Liverpool,706
LGA14920,Liverpool Plains,223
LGA14950,Lockhart,0
LGA15050,Maitland,453
LGA15240,Mid-Coast,410
LGA15270,Mid-Western Regional,405
LGA15300,Moree Plains,193
LGA15350,Mosman,1478
LGA15520,Murray River,318
LGA15560,Murrumbidgee,0
LGA15650,Muswellbrook,320
LGA15700,Nambucca,378
LGA15750,Narrabri,250
LGA15800,Narrandera,186
LGA15850,Narromine,0
LGA15900,Newcastle,580
LGA15950,North Sydney,1195
LGA15990,Northern Beaches,1237
LGA16100,Oberon,385
LGA16150,Orange,403
LGA16200,Parkes,271
LGA16260,Parramatta,754
LGA16350,Penrith,610
LGA16380,Port Macquarie-Hastings,525
LGA16400,Port Stephens,518
LGA16490,Queanbeyan-Palerang Regional,531
LGA16550,Randwick,1060
LGA16610,Richmond Valley,303
LGA16700,Ryde,895
LGA16900,Shellharbour,600
LGA16950,Shoalhaven,540
LGA17000,Singleton,375
LGA17040,Snowy Monaro Regional,350
LGA17080,Snowy Valleys,260
LGA17100,Strathfield,670
LGA17150,Sutherland Shire,880
LGA17200,Sydney,930
LGA17310,Tamworth Regional,329
LGA17350,Temora,250
LGA17400,Tenterfield,240
LGA17420,The Hills Shire,1050
LGA17550,Tweed,560
LGA17620,Upper Hunter Shire,329
LGA17640,Upper Lachlan Shire,390
LGA17650,Uralla,343
LGA17750,Wagga Wagga,330
LGA17850,Walcha,0
LGA17900,Walgett,0
LGA17950,Warren,0
LGA18020,Warrumbungle Shire,160
LGA18050,Waverley,1451
LGA18100,Weddin,0
LGA18200,Wentworth,298
LGA18250,Willoughby,1350
LGA18350,Wingecarribee,769
LGA18400,Wollondilly,665
LGA18450,Wollongong,635
LGA18500,Woollahra,1858
LGA18710,Yass Valley,664
